白葱 1/2~1本
豆こうじ ２キロ
ふき味噌 適量
卵 1個
えのき １袋
にんじん ４～５cm
茹でアスパラ 2束分
人参（千切り） １／３本
さつまいも 大1
豆腐 ２００グラム
しょうが 適量
玉ねぎ １／２個
アーモンドプードル 30ｇ
ブロッコリー １房
味の素 ３～４ふり
マヨネーズ 少々
たけのこ 半分～１本
塩コショウ 少々
きのこ(しめじ・えのき・椎茸など…) 合わせて１００ｇ
にんじん 小1本
玉ねぎ ２個
サワークリーム １００ｇ
トマト 小１個
チーズ（とけるタイプ） ２枚（厚揚げの大きさに応じて）
葱の青い部分 2本
塩昆布 １０ｇ
たまねぎ ４分の１
●しょうゆ 大さじ１
ジャム　好きな味(写真は、ブルーベリーです) 適量
鶏胸肉 1/2枚
・卵黄 3つ分
玉ねぎ １/４個
あさり １/２パック
水菜 １／２袋
ホットケーキミックス 小袋１
コーンスターチ 70g
ごま油　　　 大4
たまご ４コ
木綿豆腐（または絹ごし） 200ｇ
鰹節 3ｇ
マヨネーズ 大さじ１
●マヨネーズ 大さじ２
七味 適量（お好み）
ミツカン「熟味酢」 大さじ1
粉末の抹茶（市販のもの） 1袋（15グラム）
きゅうり １本
ツナ １缶
ホワイトチョコ 80㌘
オリーブオイル 適量
砂糖 ３０g
布巾 一枚
ハム 適量
＊だしの素 小さじ１
マーガリン ２０ｇ
お茶漬けのもと １袋
乾燥わかめ １/４カップ
揚げ油 適宜
●醤油 １Cup
塩 小さじ１
ネギ １本
じゃが芋 中４個
豚バラｽﾗｲｽ 4枚
＊ごま（炒りorすりどちらでもO.K） 25グラム
豚肉 ６０ｇ
春キャベツ 120ｇ
人参 100ｇ（短冊切り）
海苔 適量
卵 1個
★乾燥卵白 小さじ3杯
砂糖 大さじ3
いかそうめん ８０g
インスタントコーヒー スプーン1〜
ちりめんじゃこ 大さじ1
えのき 100g（大１袋）
塩 少々
　たまねぎ 100g
◎卵 １こ
だし汁 50 cc
もやし 一袋
海老 ６～８尾
水 たっぷり
ネギ １０ｃｍ
豆腐 150ｇ
玉ねぎ 中、３個
えのき 一袋
あずき缶 180〜200g
砂糖 ６０ｇ
長ネギ 10cmくらい
卵 ３個
ベーキングパウダー 3ｇ
ﾆﾝﾆｸ 2かけ
木綿豆腐 1丁(350g)
牛乳 200ml
人参 小１本
大根 適量
にんにく・しょうが チューブでＯＫ
たらこ １/２腹
人参（太めの千切り） １／３本
たまご ２コ
ベーコン ８０グラム
塩 少々
人参 ３ｃｍ
はちみつ(砂糖でも可) 小さじ4
油揚げ １／２枚
お酒　　　  　　　 適量
合い挽き肉 200g
固形コンソメ 3個
ひきわり納豆 １００グラム
バター 大さじ１
塩 ふたつまみ
桃屋のラー油 小さじ１
にんじん 1/2本
ハム ３枚
戻したきくらげ(無くてもOK) 2枚
熟味酢 適量
玉ねぎ 1/2コ
○熟味酢 ５０ｃｃ
レモン 適量
ツナ 1缶
○ﾌﾞﾛｯｺﾘｰ １株
白菜 １／３株程度
・カレー粉 大さじ１
のり 適量
たまねぎ 半分
すりごま ２０ｇ
砂糖 大1
ムキエビ 250g
菜の花 2/3束
小麦粉 190ｇ
納豆 １パック
豆腐 １００ｇ(１/２丁)
たまご 2個
生クリーム 100cc
お好きな野菜 好きなだけ
ひき割り納豆 １５０ｇ
ラーメン用のたれ 1袋
練り辛子 小さじ1/2
リコッタチーズ 425g
水 約２００ｇ
●さつまいも 1/2本
厚揚げ １枚
ほうれん草 １束
ｱﾎﾞｶﾄﾞ 60g
無糖ヨーグルト ２００ｇ
にんじん　小 2/1本
●醤油 大さじ1
早煮昆布 ２０cm×２本くらい
バター ５グラム
シイタケ ４ヶ
薄力粉 １００グラム
きゅうり 1本
玉ねぎ 小１個
◎焼き肉のたれ 大3～４
玉ねぎ １／２個
油揚げ（肉厚の物がオススメ） 2枚
バニラオイル（バニラｴｯｾﾝｽ） 少々
◎しょうゆ 大３
にんじん １本
玉ねぎ １コ
鶏モモ肉 ３枚
ツナ缶 １缶
★青ねぎ １本
玉ねぎ １／２個
ライ麦 40g
ひき肉 ８０グラム
卵（目玉焼きにしておく） １個
・長ネギ 1/2本
塩 適量
米 ２－３合
※豚ひき肉 100ｇ
コンソメの素（水300ｍｌに対し１個の市販品） ３個
卵 １個
◆マヨネーズ 大さじ1～1半
牛乳 150ｃｃ
玉ねぎ 1/2個
ごま油 大さじ１
木綿豆腐 半丁
たまご １個
一味唐辛子 たっぷり
モッツァレラチーズ お好みで
たまねぎ １／２個
砂糖 70g
人参 2/3本
マッシュルーム ２～３こ
芽ひじき 大さじ２
素精糖 45g〜55g
玉ねぎ 適量
粉砂糖 １００g
マヨネーズ 約大さじ1
ナンプラー 大さじ４
そら豆(さやから出したもの) お茶碗１杯
＊たらこ（辛子明太子でも可） 大さじ1（お好みで）
塩 小さじ1
ビアハム ２枚
薄力粉 100ｇ
じゃがいも（大） 1個
ウインナー（赤いのがベスト） 1袋
塩コショウ 少々
塩麹【ID:637783】 大さじ１／２
カブ 2個
すし酢 小匙１
バター 1かけ
ご飯 一合の2/3位
鳥はむ 100gくらい
カニカマ 4個
ホットケーキミックス 200ｇ
玉葱 半分
たまご 3つか４つ
発芽玄米 １合
●サーモン ５００グラム程度
砂糖 90ｇ～
生姜みじん切り 1かけ
レタス 4枚
水 ルゥの記載分量
根とり太もやし 1袋
ミンチ（今回あいびき） 150グラム
鳥の胸肉 1～２枚
ミツカン　熟味酢 大さじ２
おから １５０ｇ
・凍り豆腐 150g
戻した干ししいたけ ２枚
三温糖 ８０ｇ
プレーンヨーグルト 200~300ｇ
水菜 2束?くらい
納豆(３パック） 100グラム
さつま芋（中位） １本
ハム １枚
豚肉（バラ薄ゃシャブ用肉等） 300～400㌘
ホタテの缶詰（ほぐし身） １缶
小麦粉 大さじ４
・塩昆布 適量
りんご 1/4個
切干大根 １袋（３０グラム）
鶏ひきにく １００～１２０ｇ
のり・ケチャップ 少量
もやし １/2袋
三ツ矢サイダー 適量
のり ２枚
豆乳 20g
カレー 適量
プレーンヨーグルト 大さじ２
ケチャップ 適量
レモン汁 大２
鶏卵 2個
水 500～600cc
土しょうが 100g
にんにく 2～3片
かつお節 1パック
牛乳 １/３カップ
納豆 大さじ１
フレッシュチーズ ４０ｇ
人参 ３０ｇ
水 １５０ｍｌ
バターorマーガリン 大さじ2
さつまいもマッシュ 大さじ２
酢かレモン汁 ３０ｃｃ
グラニュー糖 40g
玉ねぎ 小～中1個
ハム 1枚
ゴボウ ７０ｇ
顆粒ゼラチン ５グラム
蕪 皮まま大1個・乱切り
ほうれん草 ２分の１束
合い挽きミンチ 150g
鰹節 ２袋
納豆 1パック
　・カツオで取った出汁 300cc
にんじん用　（酢） 大　2
ﾊｰﾌﾞｿﾙﾄ 適量
☆　とうがらし　みじん切り １本
kiriクリームチーズ １ピース
グラニュー糖 １００ｇ
にんじん 1／2本
豆乳か牛乳 大さじ１強
塩こんぶ ５g
バター（マーガリン・有塩・無塩どれでもok) 50グラム
韓国のり １～２パック
レタス ３枚
卵(Ｌサイズ) 1個
生ハム 10枚
塩・こしょう 適宜
◆鰹節（３ｇ入） 半Ｐ
◆キッコーマン「特選 丸大豆しょうゆ　750ml」 小０．２５
コーンミール ３０ｇ
ひき肉 100ｇ～120ｇ
牛乳　※よもぎ粉使用の場合は工程８参照 よもぎと合わせて１６０ＣＣ
ごまペースト ５０グラム
牛肉 １００ｇ
豆乳 １００ｃｃ
ほうれん草 1/4束
ベーキングパウダー 少々
挽肉(牛、豚、合びき、鶏　お好みで） １６０ｇくらい
きび砂糖（グラニュー糖） １００ｇ
●水 300ml
長葱 １本
鮭フレークOR焼き鮭 大さじ２～
生ハム ５〜６枚
砂糖（キビ砂糖） 40ｇ
玉ねぎ 1/4個
人参 ２cm
セロリ 中２本
レタス ３～５枚
水 ３５０～４００ｃｃ
●抹茶パウダー ２ｇ
キャベツ １枚
もめん豆腐 1/2丁
木綿豆腐 １丁（３００グラム）
卵　(中） 2 個
チンゲン菜 ２株
さやえんどう １０本ほど
塩コショウ 適量の多め
水 300cc
大葉 ３～４枚
黄桃缶 １
豚バラ 好きなだけ
水 ２００cc
ジャム（ペクチン入り） 大さじ3
豚肉もも薄切り肉 ２００ｇ
グラニュー糖 ５０ｇ
玉ねぎ 1/2個
豆乳 ３０ｇ
パン粉 適量
白菜 1/4切り2～3枚
☆マヨネーズ 大さじ３
塩鮭 １切れ
インスタント松茸風お吸い物 １杯分
菜の花 一束
絹ごし豆腐 1 丁
＊醤油 大さじ４杯
ネギのみじんぎり 適量
スモークサーモン 適量
じゃこ 大2
にんじん 小1本
なす ４本
ニンニク 1片
押し麦 大匙２（省略可）
★はちみつ 大さじ１
ほうれん草 1/2束
塩・こしょう 少々
豚薄切り肉（今回はしゃぶしゃぶ用を使いました） １０枚程度
塩 少々
小麦粉 適量
豚肉 1パック
★　アーモンドパウダー ２０グラム
クレイジーソルト（塩、こしょうなど） 適量
アスパラ（又はお好きな野菜） 3～4本
ベーコン（あればブロックベーコンがお勧め♡） スライスなら２枚、角切りなら５㎜の３枚くらいです
・ﾌﾟﾚｰﾝﾖｰｸﾞﾙﾄ 200cc
ブロッコリー ２房
牛乳 400ml
海老 12匹
真鯛（養殖物が安くて良い） ２ｋｇ
ご飯 130ｇ
バター ８０～９０ｇ
水 ２００ｃｃ
明太子 ２、３腹
にんじん、ねぎ、しいたけ みじん切り
味噌 大さじ１．５
こんにゃく 1枚
☆ツナ缶（油も使います） 1缶
油（バター、オリーブオイル、なんでも） おおさじ１
ちりめんじゃこ ネギと同量
鶏肉 ３００ｇ
イースト（お勧め　インスタファームイースト） ４ｇ
ハム ３、４枚
ハス １０㎝
ホエー スプーン5杯
・薄力粉 40グラム
砂糖 ５g(ｽﾌﾟｰﾝ１杯、お好みで)
ゴボウ 1/2本
砂糖 ５０ｇ
牛乳（水にクリープでもOK） 50ｃｃ
水菜 １／２袋
山椒 少々
ほうれん草 好きなだけ
ピーマン 2個
低脂肪乳 100cc
いくら 50g
マーガリン ５０ｇ
玉ねぎ（大） 1個（小なら2，3個）
水 ボウルに半分ぐらい
全粒粉 １２５ｇ
牛乳 200ml
グラニュー糖  50ｸﾞﾗﾑ
ガーリックみじん切り 小さじ1
豆乳(調整) 100cc
■ドライイースト 3ｇ
白菜 1/8個（200gくらい）
納豆 1パック
にんじん 1／2本
りんご（王林） 1個
人参 １／２本
○大葉 ５枚位
玉子 １個
◆粉砂糖 50g
・和風だし　 小さじ１
水 大さじ1
市販の冷凍パイシート ２枚
にんじん ちくわの穴に詰める量
キャベツ 4枚
a.牛乳 小さじ2
牛乳 お好みで
たまねぎ 半分ぐらい
残り物　ひじきの煮物 適量
塩 小さじ１
豚ミンチ ２００ｇ
チーズ ちくわの穴に入る分
☆薄力粉 １２０ｇ
○ベーコン 2〜3枚
★薄力粉 120g
豚ばらブロック 半分くらい（パックで売ってる量の・・・）
★たまご 半分くらい
★BP 5ｇ
油揚げ ５枚
豆腐 350-400g
重曹 小さじ1
さつまいも 大1本（約470g）
☆えんどう豆（さやから出し、茹でた物） 50グラム
いちご 小3～4個
黒すりごま 小さじ１と１/２
干しエビ（桜エビ） 大さじ２
にんじん 1/3本
大根 15～20cm位
ごま油 大さじ１
バター 10ｇ
バター 30g
ホシノ酵母生種 ２３ｇ
もやし １袋
はちみつ 大さじ２
ピーマン １個
野菜（キャベツ・ブロッコリー・ほうれん草など） お好みの量
新玉ねぎ（普通のでも） 1/2個
野菜ブイヨン 1/2カップと大さじ2
タマネギ 1/2個
カニカマ ３本
牛乳 50ｃｃ
きゅうり １本
セロリ １本
長ネギ １/２本
ゆでたけのこ ２分の１本くらい
ブロッコリーの茎 １株分
卵 1個
なす １本
ご飯 どんぶり茶碗少なめ１杯
卵黄 １個分
ごま油 大さじ１
人参 1/2本
上新粉 ４０ｇ
ベーコン ５０ｇ
塩 2～3振り
じゃがいも １個
バナナ １本
マヨネーズ 大さじ１～２
おからパウダー ５０ｇ
○溶かしバター（植物油でもＯＫ） １０ｇ
水 大さじ1
納豆 ２パック
サラダ油 大さじ１～２
プリングルズ（サワークリーム＆オニオン味） 適量
蒟蒻 1/2枚
醤油 50cc
薄力粉 50ｇ
ベーキングパウダー 小さじ1
にんじん 50ｇ
砂糖 大さじ１
チョコレート 240g（無ければ200g程度でも問題なし）
無塩バター 100g
とりもも肉 １枚
◎酒 大３
卵黄（Mサイズ） 5個分
ちりめんじゃこ 大さじ３
ケチャップ 大さじ１
料理酒 ５０ｍｌ
ひき肉 50g
ワンタンの皮 20枚程度
あんこ 120ｇ
塩 少々
マーガリン 120g
粉末寒天 1ｇ
ひき肉 ５０ｇ
インスタント　ドライイースト 2ｇ
マヨネーズ 大さじ５
にんじん 1本
水 ９０ｃｃ
にんにく、生姜 各１０ｇ
牛乳 1カップ
全粒粉 75g
Ｂ・Ｐ（ベーキングパウダー） 2g
水 200ｃｃ
クレイジーソルト 適量
玉葱 １個
　薄力粉 １カップ
しめじ 半株程度
大根 50ｇ
ハム ５枚
カニカマ 2本
薄力粉 ３０ｇ
グレープフルーツ １/２個～
砂糖 50g
たまご 一個
烏龍茶ティーバッグ １個
好きなスープ 今回は市販のオニオンスープ
フロリダグレープフルーツ １/２個
　　　　　　抹茶パウダー 大さじ1
レモン 半分
タマネギ ２個
バター 大さじ２
A:はちみつ 30ｇ
サーモン ５きれ
ご飯 ２合
セロリ 大１本
牛乳 ココアの具合で
玉ねぎ 1/2個
ベーキングパウダー 小さじ3
玉ねぎ 1/2個
コーンスターチ １０ｇ（７ｇ）[１３ｇ]
エリンギ 大１個
★マヨネーズ 大さじ３
たまご ２個
卵 ２個
ガーリック ひとかけ
みりん 100ｃｃ
桜の塩漬け 花で6～8枚（2つまみ程度）
ハム ２枚
＊　カレー粉 小さじ２
卵 1個
強力粉 75ｇ
コーンスターチ（片栗粉） 大８
グラニュー糖 80g
浮味噌 100g
大豆ドライ缶 1缶(140g)
マグロ刺身 適量
菜の花 適量
モッツァレラ １個
塩 適量
ツナ缶 1/2缶
さとう １００グラム
卵(Ｍサイズ) 3個
＊ 片栗粉 大さじ４
岩海苔 好みの量
パプリカ粉 大さじ2
牛薄切り肉 200ｇ
ポン酢 適当
絹ごし豆腐（水切りしない） ２丁
国産薄力粉 大さじ1
豚肉（薄切り） 5枚
鷹の爪 1本
とろろ昆布 お好み量
カットメロン 1カップ分
白ｷﾑﾁの素 大さじ３
明太子 半腹（1本）
チキンコンソメ ２個
油揚げ 1枚
大根 300g
菜の花 1/3束
熱湯 300cc～
卵 小1個
小麦粉 ６０ｇ
玉ねぎ １／２個
ごま油 小さじ1杯
グレープフルーツ 1個
醤油 大さじ１
鶏胸肉 1/4枚ぐらい
片栗粉 大さじ1〜2
＊しょうゆ 大さじ３
いちご（大きい物は切る） 小４～６個
豚ひき肉 150〜200g
玉葱 1/4個
長ネギ １／４本
マヨネーズ 適量
牛乳 １／２cup
葱 ５ｃｍ
はちみつ 700g
酢 大１
卵 １個
オリーブオイル 大さじ1
グラニュー糖 大さじ２
白菜 （生ごめと8：2くらいの割合）
ひき肉 ８０~１００ｇ
塩 少々
ヨーグルト 200ｇ
三ツ矢サイダー 200cc
卵 １個
イカスミ 白イカ内の1袋
小松菜 3～4本分くらい（茎）
クリームチーズ 150ｇ
片栗粉 大1弱
玉ねぎ １個
レタス 食べたいだけ
にんにく 大１片
塩鮭のほぐし（シャケフレーク） 40ｇくらい
サラダ油 ４０ｇ
バター 適量
強力粉 120ｇ
☆揚げ麩（普通のお麩でも良い）(つぶす) ３０ｇ
しょうゆ 小さじ2 
冷凍ブロッコリ ４～５房
片栗粉 まぶす量
ほうれん草 1わ程度
アンチョビフィレ 3枚
しょうがスライス ６～７枚
きゃべつ 4分の1個
しいたけ 小５個
卵黄 ３個分
砂糖 ５０ｇ
小麦粉 適量
無頭えび（バナメイえび）を茹でたもの ８匹
水 4カップ
ちくわ １袋（５本）
ツナ 1缶
マヨネーズ 大２
合挽き 200g
焼き豆腐 １丁
醤油 大さじ２ぐらい
ひき肉 25g
純ココア 30～40（お好みで量を調節）
卵 2個
卵 １コ
キウイ １個
豚ひき肉 ３５０ｇ
長ネギ 1本
里芋 ４個
桃屋の辛そうで辛くない少し辛いラー油 適量
ねぎ 適量
卵(Ｍ〜Ｌｻｲｽﾞ) ３個
ワタ 2杯分
小麦粉 100ｇ
卵 １個
キャベツ １／４位
ニラ １束
キムチ 適量
生青のり 1パック
