■水 500ml
オリーブオイル 大匙１1/2ぐらい
･お酒 130cc
★醤油 少々
片栗粉 適量
小麦粉 大さじ４
味噌 ３０ｇ
塩コショウ 適量
酒 大さじ２
うどん 適宜
　しょうゆ 大さじ1と1/2
バター 少々
●マスタード 小2
玉ねぎ １/２個
◎水 １００ｍｌ
★トッピングの温泉たまご お好みで
ウインナー ４本くらい
◎あらびき黒胡椒 少々
鶏肉 １００g
楊枝 6本
だし汁 300ｃｃ
■しょうゆ 少々
塩 少々
すしのこ 小さじ２弱
三つ葉 茹でて適量
熟味酢 大さじ１
★ミリン 大さじ2
青海苔・かつお節 好みの量
砂糖 大さじ１
生クリーム 100g
◆塩 小１/２
小麦粉 75ｇ
小魚の甘露煮 適宜
男前豆腐 半丁～１丁
◆炭酸水◆ 適量
ソース、マヨネーズ 適宜
薄力粉 大さじ3
白ごま お好みで
打ち粉 適量
ごま油 小さじ1/2
★小麦粉 大３
バター(室温で柔らかく） 200ｇ
みりん 大２
牛乳 150cc
★抹茶・ココアなど(お好みで！無しもok!) ５ｇ以内
卵 Ｌ1個
ニンニク（つぶすかおろす） ２かけ分
塩 適量
水 ２００ｃｃ
オリーブオイル 適量
レモン 硬くしたい時
お好みでキノコを 適量
塩またはクレイジーソルト 適宜
お好きなつけダレ（ポン酢・ごまだれ等） 適量
★酒 大さじ3
うすくちしょう油 大さじ１
♥料理酒 大さじ１
☆酒　　　　　（合わせ調味料） 大さじ２
クリームチーズ 50ｇ
小麦粉 適当
しょうゆ 大2
のり 適量
ゆずピール ３０ｇ
●砂糖 大さじ１
紅生姜 適宜
ケチャップ 適量
ベーキングパウダー 大さじ 1/2
ﾎﾞｲﾙｴﾋﾞ 無くても
薄口醤油 大さじ１
水 ２７０ｃｃ
飾り用のドライいちご（なくてもOK） 適量
固形ブイヨン １／２個
ごはん 茶碗半分くらい
オリーブオイル 大匙２杯
バニラエッセンス 適量
☆水 １２０ｃｃ
塩 ひとつまみ
★マヨネーズ 大匙１
ゼラチン 5g
オリーブオイル 適量
レモン汁 少々
ロールパン ４個
☆たまねぎのすりおろし 1/8～1/4（お好みで）
春菊 お好みで。茎は刻んで仕上げの薬味に
★みりん 大さじ1
スライスチーズ １枚
牛乳 適量
小麦粉 適量
★にんにく 半かけ
大根 5ｃｍ
牛乳 少々
冷凍パイシート １枚
ココナツミルクパウダー ６０ｇ
小麦粉 60g
鷹の爪 (種を除いて小さく切ったもの) 1/2本
バター 少々
リンゴ １／４個
オリーブオイル 適量
黒ごま ３０ｇ
ゴマ油 おこのみ
牛乳 100cc
○酒 大３
しょうがみじん切り 適量
サラダ油 適量
海苔 １枚
チョコチップ ４０ｇレモン汁 大さじ１
トマト １個
トマトホール １缶
粉砂糖 50g
胡椒 ０．５グラム
水とき片栗粉 適宜
塩・コショウ 適量
●コーンスターチ 10g
塩、こしょう 適量
ベーキングパウダー 小さじ1
ゆでブロッコリー 1/4房くらい
★酢 大さじ２
打ち粉 適量
水 １１５㏄
☆みりん 大さじ1
わさび＆だししょうゆ 大さじ１
★酒 大さじ３
片栗粉 大５
ごま油 小さじ1
●みりん 大さじ1
カニカマ 2本
空心菜の葉（ほうれん草などでも）のみ 一把分くらい
水(夏場は冷蔵庫で冷やしてください) 175cc
マヨネーズ 小さじ１
はちみつ 大さじ2
いんげん　輪切り ２本
◎醤油 大さじ1と1／2
●醤油 大さじ1
昆布 10cm程度
☆塩 ひとつまみ
酒 大さじ２
砂糖 小１
にんにく １片
★柚子の皮（あれば） 少々
パン粉 適量
水 ８０ml
青ネギ 適量
砂糖 大３
●鶏がらスープの素 小さじ１
塩ぽん酢（なければ普通のぽん酢しょうゆ） 大さじ2～3
生姜 1かけ
★しょうがのみじん切り 大さじ1
塩コショウ 適量
塩・コショウ 少々
すりおろしにんにく（チューブ可） 小１
＊おろしにんにく 1片分
コショウ 少々
ごま油 大さじ１
バナナ １本
レモン汁 大さじ１
サラダ油 大さじ１
★上白糖 ３０ｇ
バジル 適量
●牛乳 ８０ｃｃ
マヨネーズ 大さじ2
ご飯 1膳
麺つゆ（３倍） 小さじ１
だし 2カップ
★水 小さじ3
干し椎茸の戻し汁 １カップ
★卵 ２個
   グラニュー糖 大s4
☆砂糖 小さじ２
酒 少々
かつお節 ひとつかみ
★酒 大さじ1
しょうゆ 大さじ２
マーガリン（バター可） 適量
おろし生姜（無くてOK） 適宜
ブロッコリースプラウト（お好みでカイワレでもOK） 適量
卵白 ４個
無塩ナッツ類(あれば) 少量
ブラックペッパー、レモン汁 お好みの量
豚ひき肉 150ｇ位
ニンニクすりおろし 小さじ１
※にんにくみじん切り １～２片
ソース・マヨネーズ・青のり・かつお節 適量
ごま油 大さじ1と1/2
生クリーム...B 45cc(大さじ3)
◎らっきょう酢 大さじ3
☆しょうが（チューブも可） 2かけほど（お好みの量で）
☆塩こしょう 少々
粉チーズ 適量
パン粉 少々
しょうゆ 大さじ１
水 100ml
塩・こしょう 適量
★塩 ひとつまみ
水 大さじ１
シナモン ３～４ふり（お好みで）
酒　みりん 各　大さじ1
玉ねぎ 中１/２個
ごま油 小1～2
オレンジリキュール 小さじ１
豆乳 ５０ｃｃ
針生姜 適量
冷凍パイ生地 2枚
にんにく（薄切り） 5g
バニラオイルまたはバニラエッセンス 少々
○砂糖 小さじ１
塩 小さじ１/２
　　●しょう油 大さじ３
塩 小さじ1/3
玉ねぎ 中１個
卵 1個
じゃがいも 中3、4コ
オリーブオイル 40cc
塩コショウ 少々
ごま油 少々
卵 2個
サラダ油 適量
かつお節 大１～2
ポン酢 適宜
薄力粉 50グラム
豚（しゃぶしゃぶ用） 200ｇ
１００％りんごジュース 大匙３
ゼラチン ５ｇ
醤油 大匙１
こしょう 少々
グラハムクラッカー又はビスケット(お勧めはチョイスです下に写真載せてます） 100ｇ
こしょう 少々
サラダ油・ごま油 適量
★塩 小さじ1/2
細ねぎ 少々
A　ごま油　塩　醤油 適量
とろけるチーズ 各適量
アーモンドパウダー 30グラム
☆パセリの茎 適量
残りのシチュー 食べたい分だけ
お好みのハーブ（バジル、オレガノ、人参の葉など） たっぷり
濃口醤油 ちょっと
砂糖 大1
※酒 大１
★しょうゆ 大さじ１
白菜 2～3枚程度、お好みで
ﾌﾞﾙｰﾍﾞﾘｰコンポート（仕上げ用ソース） 30ｇ（お好みの量で）
コンソメキューブ 2 個
たまご １～２個
クレイジーソルト ２～３ふり
バター（仕上げ用） 適量
☆砕いた板チョコ 30g
☆みりん 30ｃｃ
しょうゆ 大さじ3
酒 大さじ３
塩 ５ｇ
塩 少々
鶏肉 75ｇ
水溶き片栗粉 適宜
あわせ味噌 大さじ２
ケチャップ 大匙４
白いりごま 適量
すりゴマ 大さじ1
卵 1個
ゴマ油 適量
◎みりん 小さじ２
１００％オレンジジュース ５０ｃｃ
みりん 小さじ１
★酢 大さじ1
★レモン汁 1/3～1/2個分
塩、ブラックペッパー 少々
☆砂糖 大さじ１
●みりん 大さじ３
★塩こしょう 適量
▲レモン汁 小さじ２分の１
コンソメ １こ（無くてもＯＫ）
卵 １～２個
柚子ごしょう 少々
レモン汁・水・グラニュー糖 大さじ３ずつ
醤油 お好みで
☆塩コショウ 少々
●ケチャップ 大１
しょうゆ 大さじ１／２
海苔 全形２枚
卵 １個
マロンクリーム 60g
＊ソース 小さじ１
小麦粉 適量
レモン汁 小さじ1と1/2
めんつゆ 少々
酒 大さじ３
＊薄口醤油 大さじ2
　・ねぎのみじん切り 1本分(お好きな方はもっと多めでも)
オリーブオイル 大さじ１
☆粗挽き黒胡椒 たっぷり
＊お酒 1/4カップ
水 メープルと合わせて180〜190cc
＊　醤油 おおさじ１
■にんにくパウダー たっぷり！
☆にんにく 大さじ１
お好みのトッピング 適量
レモン汁 少々
粗引き黒コショウ 適量（多めに）
○牛乳 卵と合わせて195ccにする
たかのつめ（無くてもOK） 1本
醤油 大さじ１
飾り用のごま 適量
B　お酢 大さじ２
バルサミコ酢 50cc
塩コショウ 適宜
砂糖 大さじ２
ローズマリー(あれば) 1枝
ブラックﾍﾟｯﾊﾟｰ 少々
ブラックペッパー 少々
イカ天 3枚
★はちみつ 小さじ１
小麦粉 適量
＠醤油 大匙2
●酒 適宜
ごま油 小２
しょうが 1片
しょうが 1片
◎玉ねぎ（みじん切り） 30ｇ
マーガリン 15ｇ
水 小さじ１
★塩こしょう 少々
●赤ワイン 大さじ３
水 120ｃｃ
●酒 大１
水（40℃くらい） 卵と合わせて88g
塩コショー 少々
醤油 大さじ１
油 適量
三つ葉 数本
　みりん 大さじ２
ナンプラー 大さじ１
油 適量
ビターチョコ ７０ｇ
ご飯 ２膳分
●砂糖 小さじ1
ブラックペッパー 少々
アボカド 半分
白ゴマ 適量
水 ８５ｃｃ
練乳 大1
ごま油 小さじ1
しょうが 1かけ
○砂糖 小さじ1
ケチャップ・ウスターソース 各大さじ１/2
塩こんぶ 1/3袋
酒 大6
■塩コショウ 少々
しょうゆ 小さじ1
オリーブ ３～５粒
みょうが 1個
強力粉（打ち粉として使用） 少々
胡椒 適量
紅ショウガ 中さじ1
A. 酒 大2
ヨーグルト 大匙１
豆腐 100g
じゃがいも ２個
チョコレート・粉糖（仕上げ用） 適量
醤油 大１~２
水 300g
卵 １個
■ 卵 (M) 1個
★中華だし 小さじ１
☆ローリエ 鶏肉１枚につき１枚
マロンチョコレート 70g
サラダ油 40ｃｃ
しめじ 適宜
■ バター or マーガリン 大さじ 1/2
ひき肉 大さじ1/2
オリーブオイル 小さじ１
A. だし汁 200ml
☆塩、コショウ 適宜
固形コンソメ １個
カレー粉 小さじ２
☆酢 大さじ１
醤油 大さじ２位
砂糖 大さじ２
お好みで 鰹節･青海苔 適量
みりん 小さじ１/２
　片栗粉 大さじ1+1/2
※ほんだし(顆粒) 小１
薄力粉 15g
ドライイースト ３ｇ
砂糖 大さじ２
水 ８００ｃｃ
☆しょうがの千切り（無くても良いです） １かけ
●みりん 大さじ２
にんにく 小さじ1
ナツメグ 少々
大根 ５ｃｍ
にんにく 小匙1弱
　しょうゆ 小さじ1
塩こしょう 適量
パン粉 適量
麺つゆ 大さじ2
　　　　　　　黒いりごま 適量
卵 適量
しょうゆ 大さじ１．５
キウイ 半分を8枚スライス
牛乳 １００ｃｃ
塩 少々
塩コショウ 適宜
牛乳 75cc
塩 少し
とりがらスープ １５０ｃｃ
小麦粉 大1/2
こしょう 少々
しょう油 少量
お米 2合
ウスターソース 大２
こしょう 少々
バニラエッセンス（バニラ用） 少々
酒 小さじ１
卵 1個
しょうゆ 小1半
砂糖 少々
塩 小さじ１／２
◎ウスターソース 大さじ1～1・1/2
クランベリー 80ｇ
ごま油 大さじ１
こしょう 少々
塩・コショウ 少々
パスタ 80ｇ
塩・コショウ 適量
にんにく ２片
塩 ２つまみ
白菜 少々
ｹﾁｬｯﾌﾟ（仕上げ用） 適量
●くるみなどのナッツ類 10g
チキンコンソメ 小さじ２
飾り（アラザン、チョコなど） 少々
塩コショウ 少々
塩 小さじ１／４
ベーキングパウダー 3ｇ
水（ケトリング用） 適宜
うどん 一玉
粉チーズ 大さじ１
粒マスタード 小さじ１
しょうゆ 大さじ4
☆砂糖 大さじ１
小麦粉 大さじ３
小麦粉 大２
一味唐辛子 お好み
・白ごま 適宜（多めのほうが香ばしさＵＰ！）
★ドライイースト ５ｇ
オリーブオイル 適量
◎ローリエ １枚
●ドライブルーベリー 大さじ2
オリーブオイル 大さじ1
　醤油 小さじ1/2杯
レーズン、オレンジピール、くるみ　等 適宜
砂糖 小さじ１
ドライイースト 3グラム
小麦粉 適量
カレー粉 大さじ1
・マヨネーズ 適宜
ドライイースト ４ｇ
●味ぽん（ポン酢） 大さじ３
○酒 大さじ1/2
グラニュー糖 ４５ｇ
●にんにくすりおろし 少々
（お好みで）白ごま 大さじ1
おかか 好みの量
片栗粉 小匙１杯
乾燥白さらしあん 10g
●しょうゆ 大1
しらす 適宜
ご飯 丼2杯分
サラダ油 適量
板チョコ 約1/2枚
アラザン 適量
ｳｽﾀｰｿｰｽ 小さじ２
塩・コショウ 適宜
ごま 適量
薄力粉 １５０グラム
みそ、しょうゆ、みりん、さけ 各大さじ１くらい(好みの味に)
板チョコ 約1/2枚
ドライイースト ３g
いちごジャム 適量
○しょうゆ 大さじ２
豆板醤 １〜２ｇ
醤油 味見をしながら
サラダ油 小さじ1
揚げ油 適量
片栗粉 小さじ２
牛乳 800cc
コショウ 適宜
白ゴマ 大１
☆リンゴジュース ～50cc
胡椒 少々
　　酢 大１
☆醤油 大匙1と1/2
ゴマ油 大さじ１
b 砂糖 大1弱
☆白だし     大さじ1/2
★塩 少々
レモン汁 大さじ１程度
無塩バター ２０ｇ
●ニンニク（すりおろし） 小１
プチトマト ５個
しょうゆ 少々
のり 適量
●鶏がらスープの素 小さじ４分の１
＊醤油 大さじ1
トマト 1/2個
胡麻 お好みで
お好みでイタリアンパセリ 少々
みりん 大さじ1
★卵 1個
サラダ油 適量
薄口しょうゆ 大さじ１程度
白ゴマ 少々
ベーキングパウダー 小さじ1/2
■鶏ガラ顆粒 小1
塩・こしょう 少々
酒 大さじ1
★オイスターソース 小さじ2
★醤油 大さじ１
・塩ｺｼｮｳ 少々
Ａ　おろしにんにく 1かけ
トマト缶 1／2缶
●塩 ひとつまみ
えび ２尾
水 60cc
♢しょうゆ 大さじ１
ﾏﾖﾈｰｽﾞ 大1
バニラエッセンス 一振り
砂糖 大匙3
白ワインまたは日本酒 大さじ１
バニラエッセンス 少々
レーズン １０粒ほど
☆ベーキングパウダー 小さじ１
◆カレールー １箱（１６０ｇ）
サラダ油 大さじ1
★ブルガリアヨーグルト ５０ｇ
　豚バラ 好きなだけ
塩コショウ 少々
粉末だし 小１
ラム酒（ブランデー） 小さじ１
もやし １袋
茹で汁 おたま一杯
●酒  1カップ
●モラセス（またははちみつ） テーブルスプーン1(=大さじ1)
マヨネーズ 適量
ウインナー（スパム・豚肉・ベーコン・ツナ缶） ４本（適宜）
酒 大1
ごま油 大さじ２
にんにく・しょうがみじん切り 各２片
☆しょうゆ 大さじ２
しょう油 小さじ１
ギネスビール 400ml
片栗粉 大さじ6
（お好みの）トッピング：いくら、小口ねぎ、のり等 適量
だし醤油 適量
照り卵 適量
☆片栗粉 大さじ2
こしょう 少々
醤油 大さじ1
★砂糖 大さじ２（好みで！！）
でんぶ 小匙４
山椒 少々
しょうゆ 大さじ2
○味の素 少々
ごま油 少々
生クリーム ２００ｃｃ
★くるみ 一握り
鶏ガラスープ・オイスターソース 大さじ１
カレーパウダー 少々
昆布茶 小さじ１
☆オリーブオイル 大匙１
●シナモンパウダー 適宜
みりん 大さじ1/2
しょうゆ 大さじ１
七味 お好みで
ドレッシングビネガー（酢） 大さじ２
