■酒 40ml
味噌 適量
白ゴマ 小さじ１
バニラエッセンス　or　シナモン お好みで
いくら 大さじ2
味噌 小１
★片栗粉 小さじ１／２
Ｂ　薄力粉 ９０グラム
B　ケチャップ 大2
●片栗粉 小さじ2
味噌(仕上げ用) 大１〜
グリーンレーズン ２０ｇ
ラー油 少々
スープの素 大さじ1/2
ネギ（わけぎ） 適量
白ワインまたは料理酒 少々
○　すり胡麻 大1
ベーキングパウダー 小１（無くてもいいかも）
･はちみつ 大２
ヨーグルト(無糖) 大2
＊ごま 適量
･ｹﾁｬｯﾌﾟ 大１1/2
レモン汁（瓶入りなどでＯＫ） 小さじ１
　ウェイパア（中華練りだし） 5ｇ
ケチャップ 大さじ2
大葉 適量
♪帆立顆粒ダシと　鶏ガラスープの素 各大さじ1
国産レモン 適量
☆酒 大さじ１
･みりん 大２
オリーブオイル 小さじ１
コンソメ ３コ
醤油 大さじ2
Ａ　ぬるま湯 ５０ml
片栗粉 大３～5（お好みのとろみで）
海苔 適量
★オイスターソース 大さじ1
バター 大さじ２くらいの分量
ローズマリー（ドライ） ひとつまみ
☆砂糖 大さじ３
なすび １個
醤油 大さじ２
◎酢 大さじ１
片栗粉 小匙2程
塩コショー 適量
長芋 １８０ｇ
☆塩 小1/4
白ごま、ごま油 少々
醤油 適宜
強力粉 適量
★ごま油 大さじ１
パセリ 少々
コンソメ顆粒（固形の場合） 小さじ1/2（1/4個）
ごま油 小匙２
●水 ５００ｃｃ
卵黄 １個
干しエビ 適量
みりん 大さじ３
△しょう油 大さじ１
☆砂糖 小さじ１
　■牛乳か豆乳 大さじ2～3
マヨネーズ お好み
･コンソメ（固形） 2個
★お好みで昆布茶(味の素) 適宜
☆塩 小1/2
コンソメスープ 50cc
薄口しょうゆ 大1/2〜１
●さとう 大さじ1
クリームチーズ 72～90g
＊醤油 小さじ1
ごま油 小さじ１
○玉ねぎ 小1/2
エクストラバージンオリーブオイル 大匙１
○片栗粉 大２
ピーマン、茄子、人参 少々
塩 少々
ブランデーorラム酒（お好み） 小さじ１〜２（お好み）
サラダ油 大さじ２
★ごま油 小さじ1
塩コショウ 適量
豆板醤 小さじ1/2～１
オリーブ油 大さじ2
チーズ 好きなだけ
●塩・こしょう 適量
片栗粉 適量
酒 小さじ１
水 大さじ２
海苔 １枚
胡麻油 適量
●オリーブ油 大さじ１
◎鶏ガラスープの素 小さじ１
ごま油 小さじ１
砂糖 小さじ2
★塩 適量
サラダオイル 小さじ2
塩・こしょう 適量
りんご １玉
餃子の皮（厚め） 大判20枚
塩・こしょう 少々
○塩 小さじ1
明治ブルガリアヨーグルト 大さじ３
マロニー お好みの量
薄力粉 ささみのしたごしらえにふるう用
ごま油 小さじ1/2
しょうゆ 大2
●醤油 小さじ１くらい
○しいたけの戻し汁 １００ｃｃ
片栗粉 適量
バター 大さじ半分
サラダ油 大さじ１
砂糖 小さじ１／２
塩 お好みで
塩 小匙１
塩コショウ 少々
水 鍋底１ｃｍ分
カレー粉 大さじ1
水溶き片栗粉 適量
ゴマ油 小さじ2
塩 適量
ごま油 小さじ1
きゅうり 1本
☆酒 大2
こしょう 少々
●輪切り唐辛子 ひとつまみ
＊ ニンニクスライス 1カケ
●ゴマ油 大さじ１
★プレーンコーンフレーク（お好みで） 20ｇ
○片栗粉 小さじ1
砂糖 大さじ2
うどん 好きなだけ
レモン １個（１１２g）
砂糖 大１
★酒 大２
無調整豆乳 100ｃｃ
小麦粉 適宜
★塩コショウ 少々
バニラエッセンス 数滴
炒り胡麻 少々
とろけるチーズ 適量（たっぷり）
ゆで汁 少々
こしょう 少々
熱湯 80cc
塩コショウ 適量
◆セロリ 1/4本
バジル（粉末） 少々
★しょうゆ 大さじ1/2
砂糖 0 ～ 小さじ 1/2
ブロッコリー １株
牛乳 カップ　1/2
★すりごま 小さじ１
◆コンソメ（固形） 三個
野菜 残ってるものを適当に
●酒 大さじ１
●砂糖 小さじ２
にんにく １片
卵 ２こ
出し汁 1カップ
カレー粉 小さじ１
○塩・胡椒＆砂糖 隠し味
にんにく（すりおろし） 1片
揚げ油 適宜
ニラ 1/4束
白ごま 小さじ1～2
・ケチャップ 小さじ1/2
砂糖 大さじ５
ローリエ …2枚
●みりん 大さじ1
●片栗粉 小さじ1
☆胡麻油 適量
固形コンソメの素 2個
砂糖 小さじ１
サラダ油 大さじ1
塩・こしょう 少々
水溶き片栗粉 小さじ１
てんかす お好みで
塩コショウ 少々
乾燥バジル 適量
✿ほんだし 2つまみ
ピザ用チーズ １００グラム
水 大さじ４
バター １０ｇ
塩、胡椒、ハーブ、ガーリックなど。 お好みで
塩コショウ 少々
卵 1個
オタフクソース（普通のソースでもよい） 小さじ１
醤油 大さじ3
サラダ油 大匙1杯程度
塩こしょう 適量
★醤油（鶏の下味） 大１
（☆黒糖） 小2　
●醤油 大さじ3
ブラックペッパー 適量
塩・胡椒 適宜
◎オイスターソース 小さじ1
☆プレーンヨーグルト 大さじ1くらい（固さ調整用）
片栗粉(同量の水でとく) 大2
卵白 ２個
◎塩こしょう 適量
福神漬け 小さじ４程
粉砂糖 適宜
酒 カップ１／４
●レモン汁 大さじ１～２
◇ガラムマサラ 大さじ２
梅干し(大) 2個(調整可)
★みりん 小１
醤油 大２
ブラックペッパー 小さじ1/2
醤油 大匙2
ブロッコリー 適量
玉葱、大蒜、鷹のつめ 少々
やまいも 半本
塩 ２つまみほど
塩(味付け) 少々
すり胡麻 小２
●長ネギ ７～８cmくらい
塩こしょう 適量
桜の塩漬け 適量
水溶き片栗粉 適量
にんにく 2カケ
キムチの素 小さじ２
★醤油 小さじ２
酒 小さじ1
小松菜 １／２把
ごま油 小匙2
油 少し
塩コショウ 適宜
●ウェイパー（or鶏がらスープの素） 小さじ１
●蜂蜜 大さじ１
●サラダ油 こさじ1
酒 大さじ半分
マヨネーズ 適量
塩、胡椒、酒、片栗粉、サラダ油 適宜
砂糖 50g
ケチャップ 大さじ４
●自家製味噌ダレ（ID：975175） 大さじ1
バニラオイル 少々
　味の素KKコンソメ固形 ２個
ガーリックパウダー 少々
醤油 少々
塩 少々
お湯（ジャムをのばすため） 大さじ1.5
オイスターソース 大さじ２
塩コショウ 適量
サラダ油 大さじ2
塩少々 少々
★酒 大さじ2
一味 お好みで
★オールスパイス（あれば。クローブ、ナツメグ、などお好きなスパイスを混ぜたもの。） 小さじ1/3
マッシュルーム 少々
味の素 適量
塩 ひとつまみ
（衣用）小麦粉・パン粉 適量
たこ 適量
揚げ油 適量
みりん 大さじ１
玉ねぎ １個
ダシ １００cc
ドライパセリ（あれば） 適量
溶き卵 1個分
砂糖 30g
マヨネーズ 大2
絹さや ７枚程度
料理酒 大さじ2
◎おろし生姜、おろしにんにく 各小さじ1
塩・こしょう 少々
バター 30ｇ
★しょうゆ 大２～３
◆酒 大さじ2
おから １カップ
レタス(あればサラダほうれん草) 多め一握りくらい
苺チョコのシート レシピID :1050253 
★蜂蜜（砂糖） 小さじ1
にんじん 中1本
打ち粉（強力粉） ～
しょうゆ 大さじ2
豆乳 60cc
トマト １個
◎片栗粉 大さじ２
○ローリエ １枚
サラダ菜･レタスなど 適宜
●砂糖 小さじ１
◎だし汁 2と2/1カップ
☆顆粒かつおだし 小さじ１
ケチャップ 少々
水 800cc
塩 ちょい
マヨネーズ 大さじ1/2
ココナッツファイン 20ｇ
マカロニ １５０g
鰹だし汁 800cc
豆乳 150cc
※紹興酒（酒でも可） 大１
黒コショウ等（お好みで） ２～３振り
万能ねぎ 適量
胡麻 適量
ドライイースト 5g
塩コショウ 適量
パン粉 適量
ドライイースト 小さじ１
鰹節 適量
オレオ ６枚
砂糖 大さじ2
ごま油 小さじ１／２
アボカドオイル(オリーブオイル可) …大1
溶き卵 １個分
★みりん 小１
鷹の爪 １本
☆酒・砂糖 大２
＃レモンとオレンジのゼスト（皮のすりおろし） 各小さじ１
★酒 大さじ3
酒 小さじ1杯
砂糖 １５ｇ
パン粉 120ｃｃ
○酢 大2
酒 50ｃｃ
ヨーグルト ２００ｇ
片栗粉 少々
ローズマリー …小1/2
ウスターソース 大１．５
ねぎ ２本
海苔 適量（おにぎり用なら２枚程度）
☆酒 大さじ３（４５ｃｃ）
●ケチャップ 小1/2
○片栗粉 小さじ　1
かぼちゃ ☆
にんにく（みじん切り） ５０～７０ｇ
だんご粉(上新粉) 大さじ3〜4
☆ｺﾝｿﾒ 大さじ1
卵 8個
☆ソースの材料↓ ☆
★オリーブオイル 大1
トマトカット缶 1/2缶
塩・胡椒 適量
いかフライ 適量
コンソメの素 １個
水溶き片栗粉 適量
メロンパンクラストミックス（クオカ） ２５０グラム
バター ２０グラム
☆みりん 大さじ１
ごま油 適宜
★キルシュ 小1
水溶き片栗粉 適量
塩（はんぺんの味が濃いので加減してください） 適量
大根おろし 適量
薄力粉 適量
七味 好きなだけ
Ｂ　あらびき塩コショウ 少々
Ａオイスターソース 小さじ１
キルッシュ 少々（なくてもよい）
サラダ油(鶏肉が浸る程度) 適量
のり お好みの量
ごま油 少々
●ｹﾁｬｯﾌﾟ 大さじ1
塩コショウ 少々
◎はちみつ 小さじ1
酒            大さじ２
ねぎ お好みで
★砂糖 大２
ライムジュース こさじ２
塩･コショウ 少々
パセリ 少々
塩 ひとつまみ（１g位）
パプリカ 半分
豆板醤 小さじ1
●はちみつ 大さじ１
塩　　　　　○ 小匙４分の１
絹ごし豆腐 半丁の３分の１
Ａ　片栗粉 大さじ２
ガラスープ粉末 大匙１
生姜 １片
こんにゃく 1枚
☆サラダ油 小さじ１
松の実、またはくるみ、白ゴマなど 少々
水（接着用） 適量
トマトピューレ又はトマトケチャップ 少々
粗挽き黒胡椒 少々
■ サラダ油 40ml
にんにく（乾燥） 少々
●ローリエ １枚
サラダ油 大さじ１
●パン粉 大1
☆豆板醤 小さじ1弱（お好みで）
グラニュー糖 30ｇ
☆片栗粉 小さじ１
煮干しふりかけ　(レシピID :1048533) 大2～2.5
vanilla extract 1 tsp
しょうゆ 適宜
バター ５ｇ
醤油 小さじ１／２
◆鶏がらスープのもと 小さじ２
醤油  酒 各大さじ１
セロリ 1本
塩・胡椒 適宜
トッピング レーズン
みりん ５０ｃｃ
コンソメ 小さじ２
ケトリング用　湯 ２L
水 ３０ｃｃ
生バジルの葉（半分を刻む） ２０グラム
☆酒 大さじ１
グラニュー糖 68グラム
･豆板醤 大１
市販の高菜の醤油漬け 100ｇ
食紅（赤） 少々
だし汁 大さじ３
味の素 小さじ1/4
サラダ油 大1
ココア ６０グラム
ドライパセリ 適量
スモークサーモン ３〜４枚
インスタントコーヒーまたはココア 小匙１／３～
ａ・キャンベル・トマトスープ 缶５個
水 大さじ２
塩、コショウ 少々
･だしの素 1袋
★片栗粉 少々
油 適量
コンスターチ 小さじ１
テンメンジャン １０ｇ
鶏がらスープの素 大さじ１
お好みの具 適宜
　砂糖 小さじ2
小麦粉・卵・パン粉 適宜
●りんごジャム 大1
にら １束
ミリン 大１
酒 大さじ3
コーン １缶
パルメザンチーズ 少々
人参 １／２本
醤油 大さじ1＋1/2
グリコ「ちょい食べカレー」 １袋
卵（炒り卵用） １個
煎りゴマ 適量
★すりおろしにんにく（チューブ可） 大さじ１
★だしの素 小さじ2
卵 2個
ﾚﾓﾝ汁 10cc
◆醤油 ちょっと
レモン汁又はアスコルビン酸（ビタミンＣパウダー） お好み量
刻み海苔（トッピング用） お好みで
グラニュー糖 お好みで♪
白ゴマ 小さじ1
★鶏ガラの素 大１
カレー粉 小３
固形ブイヨン 1個
サラダ油 適量
コンソメ １個
食紅 好きな色
そうめん 人数分
黒胡椒 た〜っぷり
★ほんだし（顆粒だし） 小さじ1
塩コショウ 適量
♥砂糖 大さじ１と１/２
☆薄口醤油　（合わせ調味料） 大さじ１
冷凍ブルーベリー １２粒
オリーブオイル 大さじ２
みりん 大1.5
●みりん 大さじ１
おかか 適宜
塩 少々
ドライイースト ４ｇ
塩コショウ 適量
ゆで汁 ６０ｃｃ
塩 ２つまみ
☆中華あじ 小さじ１/２
豆乳（又は水） 125cc
★塩、コショウ 少々
ラム酒（あれば） 10cc
塩コショウ 適量
胡桃（あれば） ４０ｇ
太葱刻んだ物 大匙3～4程
★水 大さじ1
塩コショー 適量
パン粉 適量
★酒or白ワイン 30cc
水溶き片栗粉 大2
好みのマーマレード 好きなだけ
チョコレートペン（お好みで） １本
ナンプラー 大さじ１
油 大さじ１
胡麻 小１
パセリ 少々
スライスアーモンド 適量
塩 適量
オリーブオイル  20g
○水 大３
レモンの絞り汁 少々
ルー 半箱
ケシの実 適宜
コンソメ 小さじ１
玉ねぎ（小） １個
砂糖 35g
長澤家の万能つゆもしくは醤油 適量
★酒 大さじ２
インスタントドライイースト 小さじ　１＋2/3
白ごま（すりごま） 適量
★砂糖 大さじ２
油 適量
砂糖 ひとつまみ
キャンディーチーズ 1個
グレープシードオイル 少々(ひと回し程度)
塩こしょう 少々
シナモン（パウダー） 適量
人参　みじん切り ３ｃｍ
☆片栗粉 小さじ2
◎マヨネーズ 大さじ2
青ねぎ 少々
☆おろしニンニク 小さじ1／2
顆粒だし 小さじ１
塩 小1/2
片栗粉（同量の水で溶いておく） 小さじ１～２
ウスターソース　（または、オイスターソース） 大さじ３分の２　（オイスターソースなら量を減）
バジル 小さじ１（お好みで）
酒･みりん 大１
●オイスターソース 大さじ１
卵 1個
水溶き片栗粉 大さじ1
小麦粉 大１
プレーンヨーグルト 80g
＊おろし生姜 少々
ケチャップ お好みで。
しょうゆ 適量
塩コショウ 適量
卵（Ｌサイズ） １個
パセリ 適量
黒胡椒 少々
お酒 大さじ１
みりん 大さじ1
黒砂糖 大さじ３
★チキンコンソメ 小さじ１／２弱
果物 適宜
片栗粉 大さじ2から2.5
いりごま（またはすりごま） 適量（たっぷり目が美味しい！）
とろけるチーズ 適量
塩 一つまみ
ラム酒(あれば香り付け) 少々
しょうが 少々お好みで
しょうがすりおろし 小さじ１
※しょうがみじん切り 親指大
