うどん(ゆで) 2玉
　●レモン汁 小さじ1～2
塩こしょう 適量
薄力粉 150g
＊高野豆腐 3枚
ピーマン ２個
油 大さじ１×２
☆酒 大さじ1
つまみ菜（お好きな野菜で） 適量
チョコチップ 適量（お好みで）
レタス ２マイ
じゃこ天（さつま揚げやちくわでも可） 1枚
砂糖 小さじ１
玉子 L玉2個
アイスクリーム 好きなだけ
バターかマーガリン 小1-2
▲しょう油 小さじ１
●からし 少々
牛乳 小１
＊水 小さじ1
鶏がらスープの素（顆粒） 小さじ１
オリーブオイル 適量
〇水 小さじ１
塩 小さじ1/4
料理酒 大さじ2
☆みりん 大さじ３
ボイル海老 ５匹
●豆板醤 小さじ1
ソース お好みで
しいたけ 4～5枚
水 １００ｃｃぐらい
○　レモン汁 大さじ2
○わさび 小さじ１
塩コショウ 少々
しょうゆ 大さじ３
玉ねぎ 1/2玉
●ポッカレモン100 大さじ1
水 適量
●酢 大さじ２
砂糖 大さじ3
・だし醤油(もしくはめんつゆの原液) 少量(お好みで)
醤油 小1
中華スープ 大さじ２
塩 少々
びょうぶ 金紙・厚紙
絹さや 5枚
デミグラスソース缶 １缶
牡蠣 大１０～１４粒（お好みで）
砂糖 大さじ　２
（お好みで）七味か一味 適宜
塩 少々
黒砂糖（又はハチミツ) 好みの甘さで
メレンゲ用卵白 4個分
いくら 適量
　　いちご 1パック
塩たれ、お好みでソースでも 適量
きゅうり 適量
コンソメ 1/2個
　　ごま油 大１
塩･ｺｼｮｳ 適量
●鰹パック ２袋（８ｇ位）
●コショー 少々
ゆず胡椒 小さじ1/3程度
ラズベリーパウダー 適量
卵 １こ
レモン汁 大さじ１
酢（できればリンゴ酢） 大さじ２
◎おろしにんにく（チューブ） 2cm
★ごま油 小さじ1
鶏がらスープの素 小さじ1
★　しょうゆ 大３
ケチャップ 大さじ４くらい
錦糸卵 卵1個(砂糖で味付け)
ケチャップ・マヨネーズ 各大２
●オールスパイス 小さじ1/4
酒 大さじ１杯
ごま油　　ゴマ 各　大さじ1
ゴマドレッシング（市販） 適量
●メープルシロップ 大さじ1
白ゴマ 適量
しいたけ １個
卵 １コ
青ネギ ４本
スライスチーズ・カマンベールチーズ 適量
片栗粉 大さじ1と1/2
☆酒 大さじ1
オリーブ油 大さじ2
ブロッコリー（飾り用） 適量
○豆板醤 小1/2
ドライパセリ 適宜
しょうゆ 大さじ1
お酢 小さじ１程度
砂糖 ５～１０ｇ（お好みで）
メープルシロップ 小匙1〜1.5
油 少量
★塩 １つまみ
マヨネーズ 適量
揚げ油 適量
にんじん １／３本
薄口醤油 適量
グラニュー糖 35g
酢 適量
塩コショウ（ブラック） 適量
酒 大さじ2
塩 少々
●ハチミツ 大さじ３
すりおろしにんじん 少々
青のり 適量
サラダ油 適量
納豆 １パック
☆白だし 大さじ2
塩・こしょう 少々
にんにく 1かけ
コンソメ 小匙２
そうめんつゆ(ストレート) 大さじ　４
完熟したバナナ ２本
バター ３０ｇ
寒天 2g
わけぎの場合 １本
★ｵｲｽﾀ-ｿ-ｽ 大匙1
砂糖 大さじ1
卵 2個
ケチャップ等 好きなだけ
ブロッコリー 適量
塩 少々
ケチャップ（お好みで） 適量
卵 1個
ラムレーズン（レシピID：939306） 70g
水 スープの分だけ
白菜 1枚
しょうが １片
さけるチーズ １本
マヨネーズ 適量
塩胡椒 適宜
　プリン（７０ｇ） ３個
醤油 小1/2
砂糖 お好みで
★粉チーズ 大３
シーチキン（油漬けのタイプ） 1缶(80g）
しいたけ 2枚
ごま油 大さじ４
★小麦粉 1カップ
☆醤油 大３
粉末いりこ 0.1ｇ
★塩・こしょう 適量
ごま油 適量
オイスターソース 大さじ１．5
★強力粉（はるゆたかブレンド） 粉類を合わせて260ｇとなるように
サラダ油 大１＋大１
スナップえんどう １２個
チョコレート ３０ｇ
■ケチャップ 大匙　2
その他お好きな野菜 適量
･お水 1.5カップ
生姜みじん切り １かけ分
○粉末だし 適量
BP 小さじ１/2
塩コショウ 少々
★昆布茶 小さじ２
にんじん １本
インスタントドライイースト ３ｇ
★長ネギ 好きなだけ
■塩 小匙　1/2
ピーマン １個
小麦粉 ５０グラム
★片栗粉 小さじ2～3
顆粒だしのもと 小さじ２
塩コショウ 適量
ゴマ お好みで
■胡椒 少々
クレージーソルト ２振り
のり ぱらぱら
すりごま 大匙２
★ミツカン「熟味酢」 50cc
黒こしょう 少々
鰹節 1袋
にんにく 3個～4個
しょうゆ 大2
シナモン 少々
ゆず　しぼり汁 1個分
干し椎茸 大2枚
塩 胡椒 少々
抹茶 大さじ1.5～（好みで）
油 小さじ1
顆粒昆布だし 小匙１
こしょう お好み
コンソメ 1個
マーガリン ５０g
しょうゆ 小さじ１
ごま油ｏｒラー油 最後にチョロリ
塩 少々
バナナ 1本
三ツ矢サイダー 適量
さくらでんぶ お好みで適量
酒粕 40g
牛乳 20g
和風だし 少々
卵白 L６コ
◎塩 ひとつまみ
ベーキングパウダー 小さじ1/2
バター 18ｇ
しょうゆ 小さじ１
ご飯 適量
★練り胡麻 小１
蜂蜜 大１
　きのこ ２００ｇ
バター 10g
ニンジン １本
☆粒マスタード 小２
ミートボール（ぜんまいの剣） ３個
ナッツ系オイル(またクセのないオイル) 大2
海苔 適量
ザラメ糖 大根の６％
砂糖 60g
塩 小1／2
水 大さじ２
砂糖(てんさい糖、きび砂糖など) 10g〜
バター 60ｇ
ラム酒 小さじ２
プロセスチーズ 適量
白ごま 適量
ミックスサラダ お好みで
クリームチーズ 100g
ダシ醤油 大さじ３～
桜の葉 10枚
醤油 適量
レタス 中1/2個
菊花（２色） 適量
マヨネーズ 大さじ２
●顆粒昆布だしの素 少々
白いりごま 小２
みりん 大3
水 450ｃｃ
●醤油 一回し
●小麦粉 大２～３
にんにく（チューブ） １かけ
チョコレート ２１０ｇ
干し椎茸 約５枚
にんにくチューブ 5cmくらい
オリーブオイル 大さじ1
にんにく（みじん切り） １かけ
ｶﾞﾘ(生姜の甘酢) 適量
味醂 大匙5
※分量外のココア（カット後に使用） 適量
★マヨネーズ 大さじ２
バニラオイルまたはエッセンス 少々
ゼラチン 3g
バナナ 中２本
砂糖 大さじ１
バルサミコ 小さじ1
ごま油 小１
☆タカの爪 １本
マヨネーズ 適量
ウインナー ３～４本
◇砂糖 大1/2
お酢 大２弱
食紅 適
水 400ｃｃ
ウエィパー 小2
スープ(スープは和洋中なんでもOK) 適量
粉チーズ 少々
☆おろししょうが(有れば) 小２
☆砂糖 大さじ１
塩胡椒 少々
ピザ用チーズ 適量
しょうゆ 大２
☆酒 大さじ1
●ポン酢 適量
●レモン汁 小さじ１
みりん 大１弱
★しょうゆ 大さじ1弱
ﾊﾞﾀｰ 20ｸﾞﾗﾑ
砂糖 50g
しょうが １片
☆オイスターソース ひとまわし
練り梅 市販チューブ大さじ2
・レンコン 約1/3本
牛乳 250ｃｃ
★マヨネーズ 大さじ１
コショウ 少々
塩こしょう 少々
★醤油 大さじ1
片栗粉 小さじ2
たまねぎ 1ケ
ﾊﾞﾀｰ 少々
ハチミツ 小さじ１
炒め油 大１弱
醤油 小さじ2
はちみつ 大さじ１
スキムミルク 8g
なたね油 or (エサンテ) 適量
塩コショウ 少々
しょうが（チューブ可） １片
◎しょうゆ 大さじ １
☆砂糖 1/4
粉山椒(or七味) 適量
☆生クリーム 100cc
バター 30g
★水 ６００ｃ
ドライイースト 小匙１
砂糖 大１
＊粗引きこしょう 少し多め
●酒 小１
のり、黒ゴマ 適量
★マヨネーズ 大さじ１．５
パセリ 適量
●醤油 大さじ2.5
塩こしょう 少々
小麦粉 適量
市販のうどんだし(ストレート) 400〜500cc
抹茶 ５ｇ〜
ウインナー 5〜6本
サラダ油 少し
人参 1/3本
ニンジン 1/2本
フロマージュ・ブラン（ヨーグルトでも） １／２カップ
ムキえびといくら ４匹と大さじ２
塩 少々
塩コショウ 適量
ニラ 少々
みず菜 １株
オリーブオイル 小１
製菓用レーズン ４０ｇ
アルミホイル １０cm程
♪お醤油 カップ１=200cc
★お酢 大さじ１
乾燥パセリ、レモン汁 少々
エクストラバージンオリーブ油 大１
◎醤油 大さじ１
卵 １個
にんにく 一片
ごま油 大さじ３
(★あれば新玉ねぎ） 1/2～1個
☆水 75cc
A　小麦粉 大さじ１～
わさび お好みの量で
お湯 ５０ｍｌ
白だし こさじ半分くらい
塩ｺｼｮｳ 少々
　・薄口しょうゆ 25ml
●砂糖 大匙2
濃口醤油 大匙１
◆プチトマト 10個
◆バルサミコ酢 大さじ3
小麦粉 大さじ2
豆板醤 大さじ1～2（お好みで）
★醤油 大さじ１
※梅干 １個
●醤油 大さじ１
味ぽん（ポン酢） 適量
明太子 1切れ
ウインナー小 4本
★砂糖 小さじ1/2
だしの素  小１
塩 ４ｇ
しょうゆ 大さじ4杯
牛乳 100ｃｃ
菜の花 １束
のり 適量
菜の花 １束
蓮根 太めのを７ｃｍくらい
酢 小さじ１
刻み長ネギ・しいたけ 適量
ドライイースト 4g
めんつゆ 大さじ1
☆酒 １００ｍｌ
ポン酢 大さじ３
ぬるま湯（３０度位） ２２０～２３０ｇ
パン粉 大1山盛り
ホールトマト缶 １缶
醤油 大さじ1
★味噌 小さじ2杯くらい
※切り干し大根の戻し汁 80cc
☆塩 少々
☆片栗粉 小さじ1
のり お好みで
シナモン 適量
じゃがいも 中・２個
★酢（ミツカン熟味酢） 大１
塩 少々
牛乳 大さじ1
★牛乳 全卵、卵黄、レモン汁と合わせて160mlになるように）
塩コショウ 適量
みりん 小さじ1/2~2
塩こしょう 少々
お酒 大さじ１
水 ６００ml
黄色のポイフル（グミ） 1つぶ
☆トマト（みじんぎり） 半分
ポロねぎ(長ねぎok) 1本
スキムミルク 20ｇ
片栗粉 大さじ1
韓国のり 適量
コンソメキューブ 2個
■だし汁 500cc
塩こしょう 適量
●水 150cc
★みりん 大さじ１
【ﾈﾀ】 お好きなものを
酒 大さじ１
泣かない粉糖 まぶす分
水 200㏄
白煎りゴマ 適量
正油 少々
桜でんぶ(添加物のないもの） 適量
サラダ油 大さじ1
ベーキングパウダー 小さじ1／2
★醤油 大さじ1
擦りごま 大さじ１～２
水 600ml
粉ゼラチン（１５ｇの冷水で戻す） ３ｇ
■薄力粉(ﾆｯﾌﾟﾝﾊｰﾄ小麦粉) 130ｸﾞﾗﾑ
☆ケチャップ 大1
しょうゆ 小さじ１（お好みで）
お醤油 大さじ１
きゅうり 1/2本
揚げ油 適量
トマトケチャップ 50ｇ
コンソメ 5㌘
バナナ 約1本
海苔 パーツ分　
水 適量
☆しょうゆ 大さじ１
BP 小１と１/２
ゴマ 大匙３（お好みで）
マヨネーズ 好きなだけ
牛乳 50ｃｃ
塩こしょう 適宜
いちご 7～10粒位（お好みで）
■ ブラウンシュガー 50g
片栗粉（うち粉用） 適宜
◆パセリ 少々
醤油 大さじ2＋1
キウイ １個
水 ３００cc
●砂糖 小１
玉ねぎ 50g
アスパラ 6本
還元水飴 小さじ１／２
卵 Mｻｲｽﾞ２個
焼きそば付属のソース １袋
ベーキングパウダー 小2分の1
マギーブイヨン 2個
レモン 大さじ1
サーモン 1パック
醤油 大さじ１
egg 1
いちご 100g
生クリーム 大さじ3
塩 小さじ１
モッツアレラチーズ お好きなだけ
紹興酒 少々
コショウ 少々
レタス 2～3枚
ハーブビネガー 小さじ１
●鷹の爪 適量
人参 中２分の１（１ｃｍ角に切る）
塩 小匙１/２
●オイスターソース 大さじ1
ケチャップ 適量♪
●にんにくチューブ ２センチ
●酢 大さじ１
日本酒 大さじ1.5
筍 150ｇ
レモン汁 大さじ１
★ごま油 大１
ショートニング 17グラム
塩 小1
コンソメ 1個
卵 1／2
パセリ(お好みで) 適量
★塩 小１
●塩昆布 少々
☆鷹の爪 １本
ぬるま湯 50 cc
☆食紅 少々
キルシュ 小1
きぬさや ２枚
♢薄力粉 ８０g
塩 適量
塩 少々
玉ネギ ２分の１個
　　コーンスターチ 大1
水 1リットル
食紅やココアなど(少量の水で溶く) 適量
粒マスタード 大さじ１
酒 大さじ１
マヨネーズ 適量
▲酒 大さじ１
グラニュー糖 大さじ１強
七味 お好みで
牛乳 1/2カップ
マーガリン 少々
はちみつ 大さじ2
カボチャ 80グラム
トマト 飾りにお好みで
粗挽き黒コショー お好きなだけ
★酒 大さじ１
オリーブオイル 大さじ　１
醤油 お刺身パックに入っている1袋
こしょう 少々
☆だしの素 このレシピでは7グラム程度
カイワレ大根 お好みで
昆布茶 少々
黒ゴマ（今回無かったので白ゴマ） 適宜
■赤ワイン 大さじ5
●強力粉 １００g
＊おろし生姜 30g
マヨネーズ 適宜
☆みりん 小さじ１
●にんにく(すりおろし) 大さじ１
塩（☆） 小さじ１と１/２
◎ウエイパー 小さじ2
プチトマト 4個（飾り用）
コーティング用チョコ 適宜
（★牛乳） （大1弱）
★砂糖 大さじ2
ゼラチン ５ｇ
あんこ(好みの) 200ｇ
あらびき黒こしょう 適量
●ごま油 大さじ１
生クリーム 適量
★砂糖 6ｇ
●米酢(普通のお酢でもｏｋ) 小さじ１
酒（白ワインでも） 大さじ3
コンソメの素 適量
塩 少々
◎玉ねぎ(みじん切り) 適量
大根（正味） 80ｇ
えんどう ６個
塩・こしょう 適量
★全卵 1個
Ａ　酒 大1
A　卵 1個
水（白米の場合） ２カップ弱
★キッコーマン「特選 丸大豆しょうゆ」 大０．５
すきやきのたれ 大２
オリーブオイル 大さじ　１
○ごま油 大さじ1
○みりん 大匙２
しょっつる 大さじ１と1/2
紅生姜 大さじ３～好きなだけ
オリーブオイル 大匙２
○水 ２００ｃｃ
から揚げ粉 大さじ1
小麦粉 適量
砂糖 小さじ2
★しょう油 小１
★酒 大さじ１
柚子胡椒(チューブ) １〜２cm
とびこ 適量
砂糖（好みで調節する） 大1~2
ごま油 少々
Ａ　粗挽き黒胡椒 小1/4
小麦粉 大さじ１
こしょう 少々
海苔 好きなだけ
★にんにく（チューブタイプ） ２㎝程度
ドライイースト 5g
レモン汁 大さじ2
卵 １個
海苔 少量
●水＋牛乳＋卵 あわせて200ｃｃ
▼熱湯 50cc
トマト 2/1個
＊砂糖 大1
八丁味噌 大２～３
ソース お好みで
◎赤ワイン 大さじ2
錦糸玉子 卵1個分
ニラ 半束
★セロリ（茎） 10㎝
梅干し １個
三つ葉 適量
生クリーム 大さじ１
◎ゴマ油 小さじ2
B　卵 ２　個
ソース 大さじ１
鶏肉 150~200ｇ位
塩 小さじ１
オリーブオイル 小さじ２＋小さじ２(炒め用）
さけフレーク 大さじ２
ほうれん草（インゲンとかでもＯＫ） 1袋
牛乳 50~100ml
バター 小さじ1
★みりん 大さじ１
レモン（あれば） 3～5滴
ケチャップ 大さじ1
葱 10CM
※鶏がらスープの素(中華味の素でもＯＫ) 少々
油・塩・こしょう・白すりごま 少々
✿ฺしょう油 小1/2
冷ご飯 茶碗１杯
紅茶葉 大さじ２
マヨネーズ★ 大さじ１と１/２
・水 140ｍｌ
○にんにく ２かけ
＊梅肉 ２個　(お好みで)
